utcDate,homeTeam,awayTeam,score
2025-11-09T13:30:00Z,NEC,GRO,
2025-11-09T15:45:00Z,AZ,PSV,
2025-11-09T19:00:00Z,GOA,FEY,
2025-11-22T15:30:00Z,NAC,PSV,
2025-11-22T17:45:00Z,AJA,EXC,
2025-11-22T17:45:00Z,VOL,TWE,
2025-11-22T20:00:00Z,HER,GOA,
2025-11-22T20:00:00Z,SPA,SIT,
2025-11-23T11:15:00Z,HEE,AZ,
2025-11-23T13:30:00Z,FEY,NEC,
2025-11-23T13:30:00Z,TEL,UTR,
2025-11-23T15:45:00Z,GRO,ZWO,
2025-11-28T19:00:00Z,ZWO,HEE,
2025-11-29T15:30:00Z,EXC,NAC,
2025-11-29T17:45:00Z,SIT,HER,
2025-11-29T20:00:00Z,NEC,SPA,
2025-11-30T11:15:00Z,PSV,VOL,
2025-11-30T13:30:00Z,GOA,UTR,
2025-11-30T13:30:00Z,TEL,FEY,
2025-11-30T15:45:00Z,TWE,AZ,
2025-11-30T19:00:00Z,AJA,GRO,
2025-12-05T19:00:00Z,EXC,GRO,
2025-12-06T15:30:00Z,HEE,PSV,
2025-12-06T17:45:00Z,SIT,AJA,
2025-12-06T19:00:00Z,HER,TEL,
2025-12-06T20:00:00Z,FEY,ZWO,
2025-12-07T11:15:00Z,UTR,TWE,
2025-12-07T13:30:00Z,AZ,GOA,
2025-12-07T13:30:00Z,VOL,NEC,
2025-12-07T15:45:00Z,SPA,NAC,
2025-12-13T15:30:00Z,TEL,NEC,
2025-12-13T17:45:00Z,GRO,VOL,
2025-12-13T19:00:00Z,PSV,HER,
2025-12-13T20:00:00Z,ZWO,SIT,
2025-12-14T11:15:00Z,SPA,HEE,
2025-12-14T13:30:00Z,AJA,FEY,
2025-12-14T13:30:00Z,TWE,GOA,
2025-12-14T15:45:00Z,AZ,EXC,
2025-12-14T15:45:00Z,NAC,UTR,
2025-12-19T19:00:00Z,HER,HEE,
2025-12-20T15:30:00Z,VOL,SPA,
2025-12-20T17:45:00Z,EXC,ZWO,
2025-12-20T19:00:00Z,NEC,AJA,
2025-12-20T20:00:00Z,NAC,TEL,
2025-12-21T11:15:00Z,UTR,PSV,
2025-12-21T13:30:00Z,FEY,TWE,
2025-12-21T13:30:00Z,GOA,GRO,
2025-12-21T15:45:00Z,SIT,AZ,
2026-01-09T19:00:00Z,NEC,UTR,
2026-01-10T15:30:00Z,AZ,VOL,
2026-01-10T17:45:00Z,TWE,ZWO,
2026-01-10T19:00:00Z,PSV,EXC,
2026-01-10T20:00:00Z,GRO,NAC,
2026-01-11T11:15:00Z,HEE,FEY,
2026-01-11T13:30:00Z,TEL,AJA,
2026-01-11T13:30:00Z,GOA,SIT,
2026-01-11T15:45:00Z,SPA,HER,
2026-01-16T19:00:00Z,EXC,TEL,
2026-01-17T15:30:00Z,AJA,GOA,
2026-01-17T17:45:00Z,ZWO,AZ,
2026-01-17T19:00:00Z,SIT,PSV,
2026-01-17T20:00:00Z,NAC,NEC,
2026-01-18T11:15:00Z,HEE,GRO,
2026-01-18T13:30:00Z,VOL,UTR,
2026-01-18T13:30:00Z,HER,TWE,
2026-01-18T15:45:00Z,FEY,SPA,
2026-01-24T15:30:00Z,AJA,VOL,
2026-01-24T17:45:00Z,NEC,ZWO,
2026-01-24T19:00:00Z,PSV,NAC,
2026-01-24T20:00:00Z,TWE,EXC,
2026-01-25T11:15:00Z,TEL,AZ,
2026-01-25T13:30:00Z,GRO,SIT,
2026-01-25T15:45:00Z,UTR,SPA,
2026-01-25T15:45:00Z,FEY,HER,
2026-01-25T19:00:00Z,GOA,HEE,
2026-01-30T19:00:00Z,NAC,TWE,
2026-01-31T15:30:00Z,AZ,NEC,
2026-01-31T17:45:00Z,ZWO,TEL,
2026-01-31T20:00:00Z,SPA,GRO,
2026-02-01T11:15:00Z,EXC,AJA,
