utcDate,homeTeam,awayTeam,score
2025-11-09T14:00:00Z,FCL,TOU,1-1
2025-11-09T16:15:00Z,FCM,NIC,2-1
2025-11-09T16:15:00Z,RC ,LIL,2-0
2025-11-09T16:15:00Z,ANG,AJA,2-0
2025-11-09T19:45:00Z,LYO,PSG,2-3
2025-11-21T19:45:00Z,NIC,MAR,1-5
2025-11-22T16:00:00Z,RCL,RC ,
2025-11-22T18:00:00Z,REN,ASM,
2025-11-22T20:05:00Z,PSG,HAC,
2025-11-23T14:00:00Z,AJA,LYO,
2025-11-23T16:15:00Z,NAN,FCL,
2025-11-23T16:15:00Z,TOU,ANG,
2025-11-23T16:15:00Z,BRE,FCM,
2025-11-23T19:45:00Z,LIL,PFC,
2025-11-28T19:45:00Z,FCM,REN,
2025-11-29T16:00:00Z,ASM,PSG,
2025-11-29T18:00:00Z,PFC,AJA,
2025-11-29T20:05:00Z,MAR,TOU,
2025-11-30T14:00:00Z,RC ,BRE,
2025-11-30T16:15:00Z,HAC,LIL,
2025-11-30T16:15:00Z,FCL,NIC,
2025-11-30T16:15:00Z,ANG,RCL,
2025-11-30T19:45:00Z,LYO,NAN,
2025-12-05T18:00:00Z,BRE,ASM,
2025-12-05T20:00:00Z,LIL,MAR,
2025-12-06T16:00:00Z,NAN,RCL,
2025-12-06T18:00:00Z,TOU,RC ,
2025-12-06T20:05:00Z,PSG,REN,
2025-12-07T14:00:00Z,NIC,ANG,
2025-12-07T16:15:00Z,HAC,PFC,
2025-12-07T16:15:00Z,AJA,FCM,
2025-12-07T19:45:00Z,FCL,LYO,
2025-12-12T19:45:00Z,ANG,NAN,
2025-12-13T16:00:00Z,REN,BRE,
2025-12-13T18:00:00Z,FCM,PSG,
2025-12-13T20:05:00Z,PFC,TOU,
2025-12-14T14:00:00Z,LYO,HAC,
2025-12-14T16:15:00Z,AJA,LIL,
2025-12-14T16:15:00Z,RC ,FCL,
2025-12-14T16:15:00Z,RCL,NIC,
2025-12-14T19:45:00Z,MAR,ASM,
2026-01-02T19:45:00Z,TOU,RCL,
2026-01-03T16:00:00Z,ASM,LYO,
2026-01-03T18:00:00Z,NIC,RC ,
2026-01-03T20:05:00Z,LIL,REN,
2026-01-04T14:00:00Z,MAR,NAN,
2026-01-04T16:15:00Z,HAC,ANG,
2026-01-04T16:15:00Z,FCL,FCM,
