utcDate,homeTeam,awayTeam,score
2025-06-01T19:00:00Z,SAN,BOT,0-1
2025-06-01T21:30:00Z,CSC,CAM,0-1
2025-06-01T21:30:00Z,FLA,FEC,5-0
2025-06-01T21:30:00Z,COR,VIT,0-0
2025-06-01T22:30:00Z,CRU,PAL,2-1
2025-06-01T23:30:00Z,SCI,FLU,0-2
2025-06-04T23:00:00Z,BOT,CSC,3-2
2025-06-12T22:00:00Z,RBB,BAH,0-3
2025-06-12T22:00:00Z,VIT,CRU,0-0
2025-06-12T22:30:00Z,FEC,SAN,2-3
2025-06-12T23:00:00Z,FBP,COR,1-1
2025-06-13T00:30:00Z,PAU,VAS,1-3
2025-06-13T00:30:00Z,CAM,SCI,2-0
2025-07-12T19:30:00Z,FLA,PAU,2-0
2025-07-12T19:30:00Z,SCI,VIT,1-0
2025-07-12T21:30:00Z,VAS,BOT,0-2
2025-07-13T00:00:00Z,BAH,CAM,2-1
2025-07-13T22:00:00Z,COR,RBB,1-2
2025-07-13T23:30:00Z,CRU,FBP,4-1
2025-07-13T23:30:00Z,FEC,CSC,0-1
2025-07-14T23:00:00Z,JUV,REC,2-0
2025-07-16T22:00:00Z,PAL,MIR,1-1
2025-07-16T22:30:00Z,CSC,COR,0-1
2025-07-16T23:00:00Z,SAN,FLA,1-0
2025-07-17T00:30:00Z,BOT,VIT,0-0
2025-07-17T00:30:00Z,RBB,PAU,2-2
2025-07-17T22:30:00Z,FLU,CRU,0-2
2025-07-19T19:00:00Z,FEC,BAH,1-1
2025-07-19T20:30:00Z,VAS,FBP,1-1
2025-07-19T21:30:00Z,MIR,SAN,3-0
2025-07-20T00:00:00Z,PAU,COR,2-0
2025-07-20T14:00:00Z,SCI,CSC,1-0
2025-07-20T19:00:00Z,CRU,JUV,4-0
2025-07-20T19:00:00Z,VIT,RBB,1-0
2025-07-20T20:30:00Z,PAL,CAM,3-2
2025-07-20T20:30:00Z,REC,BOT,0-1
2025-07-20T22:30:00Z,FLA,FLU,1-0
2025-07-23T22:00:00Z,FLU,PAL,1-2
2025-07-23T22:00:00Z,CSC,MIR,0-2
2025-07-23T22:30:00Z,COR,CRU,0-0
2025-07-24T00:30:00Z,SAN,SCI,1-2
2025-07-24T00:30:00Z,RBB,FLA,1-2
2025-07-24T00:30:00Z,VIT,REC,2-2
2025-07-24T22:00:00Z,JUV,PAU,0-1
2025-07-26T21:30:00Z,BOT,COR,1-1
2025-07-26T21:30:00Z,MIR,VIT,1-1
2025-07-26T21:30:00Z,FEC,RBB,3-1
2025-07-26T21:30:00Z,REC,SAN,2-2
2025-07-27T00:00:00Z,PAL,FBP,1-0
2025-07-27T19:00:00Z,PAU,FLU,3-1
2025-07-27T19:00:00Z,CRU,CSC,1-2
2025-07-27T21:30:00Z,SCI,VAS,1-1
2025-07-27T21:30:00Z,BAH,JUV,3-0
2025-07-27T23:30:00Z,FLA,CAM,1-0
2025-07-29T23:30:00Z,FBP,FEC,2-1
2025-08-02T19:00:00Z,REC,BAH,0-0
2025-08-02T21:30:00Z,MIR,VAS,3-2
2025-08-03T00:00:00Z,FLU,FBP,1-0
2025-08-03T19:00:00Z,BOT,CRU,0-2
2025-08-03T19:00:00Z,COR,FEC,1-1
2025-08-03T21:30:00Z,CAM,RBB,2-1
2025-08-03T21:30:00Z,CSC,FLA,1-1
2025-08-03T22:30:00Z,VIT,PAL,2-2
2025-08-03T23:30:00Z,SCI,PAU,1-2
2025-08-04T23:00:00Z,SAN,JUV,3-1
2025-08-09T21:30:00Z,FLA,MIR,2-1
2025-08-09T21:30:00Z,PAU,VIT,2-0
2025-08-09T21:30:00Z,RBB,SCI,1-3
2025-08-09T23:30:00Z,FEC,BOT,0-5
2025-08-10T00:00:00Z,BAH,FLU,3-3
2025-08-10T19:00:00Z,VAS,CAM,1-1
2025-08-10T19:00:00Z,PAL,CSC,2-1
2025-08-10T21:30:00Z,CRU,SAN,1-2
2025-08-10T23:30:00Z,FBP,REC,0-1
2025-08-11T23:00:00Z,JUV,COR,2-1
2025-08-16T19:00:00Z,FLU,FEC,2-1
2025-08-16T19:00:00Z,CSC,RBB,1-0
2025-08-16T21:30:00Z,VIT,JUV,2-2
2025-08-16T21:30:00Z,REC,PAU,2-2
2025-08-17T00:00:00Z,COR,BAH,1-2
2025-08-17T19:00:00Z,SAN,VAS,0-6
2025-08-17T19:00:00Z,CAM,FBP,1-3
2025-08-17T21:30:00Z,SCI,FLA,1-3
