utcDate,homeTeam,awayTeam,score
2025-11-09T14:00:00Z,NOT,LEE,
2025-11-09T16:30:00Z,MCI,LIV,
2025-11-22T12:30:00Z,BUR,CHE,
2025-11-22T15:00:00Z,BOU,WHU,
2025-11-22T15:00:00Z,BHA,BRE,
2025-11-22T15:00:00Z,FUL,SUN,
2025-11-22T15:00:00Z,LIV,NOT,
2025-11-22T15:00:00Z,WOL,CRY,
2025-11-22T17:30:00Z,NEW,MCI,
2025-11-23T14:00:00Z,LEE,AVL,
2025-11-23T16:30:00Z,ARS,TOT,
2025-11-24T20:00:00Z,MUN,EVE,
2025-11-29T15:00:00Z,SUN,BOU,
2025-11-29T15:00:00Z,BRE,BUR,
2025-11-29T15:00:00Z,MCI,LEE,
2025-11-29T17:30:00Z,EVE,NEW,
2025-11-29T20:00:00Z,TOT,FUL,
2025-11-30T12:00:00Z,CRY,MUN,
2025-11-30T14:05:00Z,AVL,WOL,
2025-11-30T14:05:00Z,NOT,BHA,
2025-11-30T14:05:00Z,WHU,LIV,
2025-11-30T16:30:00Z,CHE,ARS,
2025-12-03T00:00:00Z,BOU,EVE,
2025-12-03T00:00:00Z,BHA,AVL,
2025-12-03T00:00:00Z,ARS,BRE,
2025-12-03T00:00:00Z,BUR,CRY,
2025-12-03T00:00:00Z,FUL,MCI,
2025-12-03T00:00:00Z,LIV,SUN,
2025-12-03T00:00:00Z,LEE,CHE,
2025-12-03T00:00:00Z,MUN,WHU,
2025-12-03T00:00:00Z,NEW,TOT,
2025-12-03T00:00:00Z,WOL,NOT,
2025-12-06T00:00:00Z,BOU,CHE,
2025-12-06T00:00:00Z,AVL,ARS,
2025-12-06T00:00:00Z,BHA,WHU,
2025-12-06T00:00:00Z,EVE,NOT,
2025-12-06T00:00:00Z,FUL,CRY,
2025-12-06T00:00:00Z,LEE,LIV,
2025-12-06T00:00:00Z,MCI,SUN,
2025-12-06T00:00:00Z,NEW,BUR,
2025-12-06T00:00:00Z,TOT,BRE,
2025-12-06T00:00:00Z,WOL,MUN,
2025-12-13T00:00:00Z,SUN,NEW,
2025-12-13T00:00:00Z,CRY,MCI,
2025-12-13T00:00:00Z,ARS,WOL,
2025-12-13T00:00:00Z,BRE,LEE,
2025-12-13T00:00:00Z,BUR,FUL,
2025-12-13T00:00:00Z,CHE,EVE,
2025-12-13T00:00:00Z,LIV,BHA,
2025-12-13T00:00:00Z,MUN,BOU,
2025-12-13T00:00:00Z,NOT,TOT,
2025-12-13T00:00:00Z,WHU,AVL,
2025-12-20T00:00:00Z,BOU,BUR,
2025-12-20T00:00:00Z,AVL,MUN,
2025-12-20T00:00:00Z,BHA,SUN,
2025-12-20T00:00:00Z,EVE,ARS,
2025-12-20T00:00:00Z,FUL,NOT,
2025-12-20T00:00:00Z,LEE,CRY,
2025-12-20T00:00:00Z,MCI,WHU,
2025-12-20T00:00:00Z,NEW,CHE,
2025-12-20T00:00:00Z,TOT,LIV,
2025-12-20T00:00:00Z,WOL,BRE,
2025-12-27T00:00:00Z,SUN,LEE,
2025-12-27T00:00:00Z,CRY,TOT,
2025-12-27T00:00:00Z,ARS,BHA,
2025-12-27T00:00:00Z,BRE,BOU,
2025-12-27T00:00:00Z,BUR,EVE,
2025-12-27T00:00:00Z,CHE,AVL,
2025-12-27T00:00:00Z,LIV,WOL,
2025-12-27T00:00:00Z,MUN,NEW,
2025-12-27T00:00:00Z,NOT,MCI,
2025-12-27T00:00:00Z,WHU,FUL,
2025-12-30T00:00:00Z,SUN,MCI,
2025-12-30T00:00:00Z,CRY,FUL,
2025-12-30T00:00:00Z,ARS,AVL,
2025-12-30T00:00:00Z,BRE,TOT,
2025-12-30T00:00:00Z,BUR,NEW,
2025-12-30T00:00:00Z,CHE,BOU,
2025-12-30T00:00:00Z,LIV,LEE,
2025-12-30T00:00:00Z,MUN,WOL,
2025-12-30T00:00:00Z,NOT,EVE,
2025-12-30T00:00:00Z,WHU,BHA,
2026-01-03T00:00:00Z,BOU,ARS,
2026-01-03T00:00:00Z,AVL,NOT,
2026-01-03T00:00:00Z,BHA,BUR,
2026-01-03T00:00:00Z,EVE,BRE,
2026-01-03T00:00:00Z,FUL,LIV,
2026-01-03T00:00:00Z,LEE,MUN,
2026-01-03T00:00:00Z,MCI,CHE,
2026-01-03T00:00:00Z,NEW,CRY,
2026-01-03T00:00:00Z,TOT,SUN,
2026-01-03T00:00:00Z,WOL,WHU,
2026-01-07T00:00:00Z,BOU,TOT,
2026-01-07T00:00:00Z,CRY,AVL,
2026-01-07T00:00:00Z,ARS,LIV,
2026-01-07T00:00:00Z,BRE,SUN,
2026-01-07T00:00:00Z,BUR,MUN,
2026-01-07T00:00:00Z,EVE,WOL,
2026-01-07T00:00:00Z,FUL,CHE,
2026-01-07T00:00:00Z,MCI,BHA,
2026-01-07T00:00:00Z,NEW,LEE,
2026-01-07T00:00:00Z,WHU,NOT,
2026-01-17T00:00:00Z,SUN,CRY,
2026-01-17T00:00:00Z,AVL,EVE,
2026-01-17T00:00:00Z,BHA,BOU,
2026-01-17T00:00:00Z,CHE,BRE,
2026-01-17T00:00:00Z,LIV,BUR,
2026-01-17T00:00:00Z,LEE,FUL,
2026-01-17T00:00:00Z,MUN,MCI,
2026-01-17T00:00:00Z,NOT,ARS,
2026-01-17T00:00:00Z,TOT,WHU,
