utcDate,homeTeam,awayTeam,score
2025-12-06T18:00:00Z,AVS,RIO,
2025-12-06T20:30:00Z,FAM,SCB,
2025-12-07T15:30:00Z,EST,MOR,
2025-12-07T18:00:00Z,ALV,CDN,
2025-12-07T18:00:00Z,AMA,FCA,
2025-12-07T20:30:00Z,TON,FCP,
2025-12-08T20:30:00Z,GUI,GIL,
2025-12-14T00:00:00Z,CAS,GIL,
2025-12-14T00:00:00Z,CDN,TON,
2025-12-14T00:00:00Z,SCB,CD ,
2025-12-14T00:00:00Z,SPO,AVS,
2025-12-14T00:00:00Z,FAM,EST,
2025-12-14T00:00:00Z,FCP,AMA,
2025-12-14T00:00:00Z,FCA,ALV,
2025-12-14T00:00:00Z,MOR,BEN,
2025-12-14T00:00:00Z,RIO,GUI,
2025-12-21T00:00:00Z,AVS,CDN,
2025-12-21T00:00:00Z,AMA,MOR,
2025-12-21T00:00:00Z,ALV,FCP,
2025-12-21T00:00:00Z,GIL,RIO,
2025-12-21T00:00:00Z,BEN,FAM,
2025-12-21T00:00:00Z,GUI,SPO,
2025-12-21T00:00:00Z,TON,CAS,
2025-12-21T00:00:00Z,CD ,FCA,
2025-12-21T00:00:00Z,EST,SCB,
2025-12-28T00:00:00Z,CAS,GUI,
2025-12-28T00:00:00Z,FCA,GIL,
2025-12-28T00:00:00Z,MOR,TON,
2025-12-28T00:00:00Z,FCP,AVS,
2025-12-28T00:00:00Z,FAM,AMA,
2025-12-28T00:00:00Z,EST,ALV,
2025-12-28T00:00:00Z,SPO,RIO,
2025-12-28T00:00:00Z,CDN,CD ,
2025-12-28T00:00:00Z,SCB,BEN,
2026-01-04T00:00:00Z,AVS,MOR,
2026-01-04T00:00:00Z,ALV,FAM,
2026-01-04T00:00:00Z,GIL,SPO,
2026-01-04T00:00:00Z,CD ,FCP,
2026-01-04T00:00:00Z,BEN,EST,
2026-01-04T00:00:00Z,GUI,CDN,
2026-01-04T00:00:00Z,RIO,CAS,
2026-01-04T00:00:00Z,TON,FCA,
2026-01-04T00:00:00Z,AMA,SCB,
2026-01-18T00:00:00Z,SPO,CAS,
2026-01-18T00:00:00Z,TON,SCB,
2026-01-18T00:00:00Z,RIO,BEN,
2026-01-18T00:00:00Z,AVS,FCA,
2026-01-18T00:00:00Z,AMA,EST,
2026-01-18T00:00:00Z,ALV,MOR,
2026-01-18T00:00:00Z,GIL,CDN,
2026-01-18T00:00:00Z,CD ,FAM,
2026-01-18T00:00:00Z,GUI,FCP,
2026-01-25T00:00:00Z,CAS,AVS,
2026-01-25T00:00:00Z,SCB,ALV,
2026-01-25T00:00:00Z,FCP,GIL,
2026-01-25T00:00:00Z,MOR,CD ,
2026-01-25T00:00:00Z,CDN,RIO,
2026-01-25T00:00:00Z,EST,GUI,
2026-01-25T00:00:00Z,FCA,SPO,
2026-01-25T00:00:00Z,FAM,TON,
2026-01-25T00:00:00Z,BEN,AMA,
2026-02-01T00:00:00Z,SPO,CDN,
2026-02-01T00:00:00Z,RIO,FCA,
2026-02-01T00:00:00Z,GIL,FAM,
2026-02-01T00:00:00Z,TON,BEN,
2026-02-01T00:00:00Z,AVS,SCB,
2026-02-01T00:00:00Z,CAS,FCP,
2026-02-01T00:00:00Z,ALV,AMA,
2026-02-01T00:00:00Z,CD ,EST,
2026-02-01T00:00:00Z,GUI,MOR,
2026-02-08T00:00:00Z,FAM,AVS,
2026-02-08T00:00:00Z,CDN,CAS,
2026-02-08T00:00:00Z,BEN,ALV,
2026-02-08T00:00:00Z,MOR,GIL,
2026-02-08T00:00:00Z,AMA,CD ,
2026-02-08T00:00:00Z,EST,TON,
2026-02-08T00:00:00Z,FCA,GUI,
2026-02-08T00:00:00Z,FCP,SPO,
2026-02-08T00:00:00Z,SCB,RIO,
2026-02-15T00:00:00Z,GUI,AMA,
2026-02-15T00:00:00Z,TON,ALV,
2026-02-15T00:00:00Z,CAS,FCA,
2026-02-15T00:00:00Z,SPO,FAM,
2026-02-15T00:00:00Z,RIO,MOR,
2026-02-15T00:00:00Z,GIL,SCB,
2026-02-15T00:00:00Z,CD ,BEN,
2026-02-15T00:00:00Z,AVS,EST,
2026-02-15T00:00:00Z,CDN,FCP,
2026-02-22T00:00:00Z,BEN,AVS,
2026-02-22T00:00:00Z,FAM,CAS,
2026-02-22T00:00:00Z,EST,GIL,
2026-02-22T00:00:00Z,AMA,TON,
2026-02-22T00:00:00Z,ALV,CD ,
2026-02-22T00:00:00Z,FCA,CDN,
2026-02-22T00:00:00Z,FCP,RIO,
2026-02-22T00:00:00Z,MOR,SPO,
2026-02-22T00:00:00Z,SCB,GUI,
2026-03-01T00:00:00Z,SPO,EST,
2026-03-01T00:00:00Z,GUI,ALV,
2026-03-01T00:00:00Z,FCP,FCA,
2026-03-01T00:00:00Z,RIO,FAM,
2026-03-01T00:00:00Z,TON,CD ,
2026-03-01T00:00:00Z,CDN,SCB,
2026-03-01T00:00:00Z,GIL,BEN,
2026-03-01T00:00:00Z,AVS,AMA,
2026-03-01T00:00:00Z,CAS,MOR,
2026-03-08T00:00:00Z,ALV,AVS,
2026-03-08T00:00:00Z,EST,CAS,
2026-03-08T00:00:00Z,FAM,FCA,
2026-03-08T00:00:00Z,TON,RIO,
2026-03-08T00:00:00Z,AMA,GIL,
2026-03-08T00:00:00Z,MOR,CDN,
2026-03-08T00:00:00Z,CD ,GUI,
2026-03-08T00:00:00Z,SCB,SPO,
2026-03-08T00:00:00Z,BEN,FCP,
2026-03-15T00:00:00Z,CDN,EST,
2026-03-15T00:00:00Z,RIO,AMA,
2026-03-15T00:00:00Z,GIL,ALV,
2026-03-15T00:00:00Z,GUI,FAM,
2026-03-15T00:00:00Z,FCP,MOR,
2026-03-15T00:00:00Z,CAS,SCB,
2026-03-15T00:00:00Z,AVS,CD ,
2026-03-15T00:00:00Z,FCA,BEN,
2026-03-15T00:00:00Z,SPO,TON,
2026-03-22T00:00:00Z,TON,AVS,
2026-03-22T00:00:00Z,AMA,CAS,
2026-03-22T00:00:00Z,MOR,FCA,
