station_name,metadata,month,tmax,tmax_is_estimated,tmin,tmin_is_estimated,af,af_is_estimated,rain,rain_is_estimated,sun,sun_is_estimated,sun_instrument,provisional
aberporth,,1946-05,14.1,False,6.7,False,,,59.3,False,236.5,False,Campbell Stokes recorder,False
aberporth,,1946-06,14.6,False,8.8,False,,,79.4,False,197.5,False,Campbell Stokes recorder,False
aberporth,,1946-07,17.1,False,11.2,False,,,62.6,False,186.8,False,Campbell Stokes recorder,False
aberporth,,1946-08,16.3,False,11.0,False,,,121.6,False,159.9,False,Campbell Stokes recorder,False
aberporth,,1946-09,16.3,False,11.3,False,,,103.1,False,105.7,False,Campbell Stokes recorder,False
aberporth,,1946-10,,,8.2,False,,,40.9,False,106.8,False,Campbell Stokes recorder,False
aberporth,,1946-11,,,7.6,False,,,152.3,False,47.8,False,Campbell Stokes recorder,False
aberporth,,1946-12,7.2,False,3.1,False,,,106.6,False,56.7,False,Campbell Stokes recorder,False
aberporth,,1947-01,5.8,False,1.4,False,,,122.9,False,78.0,False,Campbell Stokes recorder,False
aberporth,,1947-02,,,-2.7,False,,,53.9,False,50.0,False,Campbell Stokes recorder,False
aberporth,,1947-03,,,2.2,False,,,191.1,False,80.3,False,Campbell Stokes recorder,False
aberporth,,1947-04,,,5.1,False,,,85.6,False,162.1,False,Campbell Stokes recorder,False
aberporth,,1947-05,13.9,False,8.0,False,,,99.1,False,201.2,False,Campbell Stokes recorder,False
aberporth,,1947-06,17.0,False,10.4,False,,,67.4,False,161.5,False,Campbell Stokes recorder,False
aberporth,,1947-07,17.4,False,11.7,False,,,52.8,False,158.9,False,Campbell Stokes recorder,False
aberporth,,1947-08,21.4,False,13.2,False,,,20.2,False,278.3,False,Campbell Stokes recorder,False
aberporth,,1947-09,17.5,False,11.4,False,,,69.5,False,130.1,False,Campbell Stokes recorder,False
aberporth,,1947-10,14.2,False,8.0,False,,,29.9,False,136.9,False,Campbell Stokes recorder,False
aberporth,,1947-11,10.1,False,6.5,False,,,100.1,False,54.3,False,Campbell Stokes recorder,False
aberporth,,1947-12,7.7,False,4.9,False,,,92.9,False,29.7,False,Campbell Stokes recorder,False
aberporth,,1948-01,8.2,False,4.6,False,,,167.5,False,48.7,False,Campbell Stokes recorder,False
aberporth,,1948-02,7.4,False,2.9,False,,,56.8,False,89.6,False,Campbell Stokes recorder,False
aberporth,,1948-03,13.5,False,5.8,False,,,51.9,False,188.9,False,Campbell Stokes recorder,False
aberporth,,1948-04,11.4,False,4.8,False,,,36.4,False,213.7,False,Campbell Stokes recorder,False
aberporth,,1948-05,14.2,False,6.7,False,,,44.7,False,297.5,False,Campbell Stokes recorder,False
aberporth,,1948-06,14.7,False,9.8,False,,,59.4,False,145.0,False,Campbell Stokes recorder,False
aberporth,,1948-07,16.9,False,11.6,False,,,103.1,False,144.1,False,Campbell Stokes recorder,False
aberporth,,1948-08,17.0,False,11.8,False,,,102.4,False,146.7,False,Campbell Stokes recorder,False
aberporth,,1948-09,15.7,False,11.1,False,,,77.9,False,111.5,False,Campbell Stokes recorder,False
aberporth,,1948-10,13.3,False,8.5,False,,,87.4,False,93.6,False,Campbell Stokes recorder,False
aberporth,,1948-11,11.5,False,6.9,False,,,95.6,False,78.6,False,Campbell Stokes recorder,False
aberporth,,1948-12,8.5,False,4.2,False,,,175.9,False,87.2,False,Campbell Stokes recorder,False
aberporth,,1949-01,8.6,False,5.0,False,,,44.0,False,60.0,False,Campbell Stokes recorder,False
aberporth,,1949-02,8.7,False,4.4,False,,,36.6,False,105.0,False,Campbell Stokes recorder,False
aberporth,,1949-03,8.7,False,3.3,False,,,44.4,False,158.8,False,Campbell Stokes recorder,False
aberporth,,1949-04,,,6.7,False,,,74.8,False,161.9,False,Campbell Stokes recorder,False
aberporth,,1949-05,13.4,False,6.6,False,,,67.9,False,247.2,False,Campbell Stokes recorder,False
aberporth,,1949-06,17.4,False,11.3,False,,,24.6,False,286.1,False,Campbell Stokes recorder,False
aberporth,,1949-07,19.9,False,12.5,False,,,45.0,False,267.5,False,Campbell Stokes recorder,False
aberporth,,1949-08,19.0,False,12.8,False,,,59.1,False,202.3,False,Campbell Stokes recorder,False
aberporth,,1949-09,19.5,False,12.5,False,,,28.3,False,188.4,False,Campbell Stokes recorder,False
aberporth,,1949-10,15.2,False,9.9,False,,,181.1,False,83.8,False,Campbell Stokes recorder,False
aberporth,,1949-11,10.2,False,6.1,False,,,147.6,False,63.8,False,Campbell Stokes recorder,False
aberporth,,1949-12,8.7,False,5.4,False,,,115.3,False,40.1,False,Campbell Stokes recorder,False
aberporth,,1950-01,7.3,False,3.2,False,,,29.9,False,66.6,False,Campbell Stokes recorder,False
aberporth,,1950-02,8.3,False,3.9,False,,,176.7,False,50.2,False,Campbell Stokes recorder,False
aberporth,,1950-03,10.8,False,4.8,False,,,57.5,False,147.7,False,Campbell Stokes recorder,False
aberporth,,1950-04,10.3,False,5.3,False,,,84.9,False,137.8,False,Campbell Stokes recorder,False
aberporth,,1950-05,14.7,False,7.6,False,,,60.5,False,243.0,False,Campbell Stokes recorder,False
aberporth,,1950-06,17.9,False,11.2,False,,,40.3,False,249.5,False,Campbell Stokes recorder,False
aberporth,,1950-07,17.9,False,12.0,False,,,63.4,False,190.2,False,Campbell Stokes recorder,False
aberporth,,1950-08,17.4,False,11.5,False,,,158.2,False,165.8,False,Campbell Stokes recorder,False
aberporth,,1950-09,15.3,False,10.7,False,,,208.8,False,100.7,False,Campbell Stokes recorder,False
aberporth,,1950-10,12.9,False,8.0,False,,,91.9,False,108.1,False,Campbell Stokes recorder,False
aberporth,,1950-11,9.1,False,4.8,False,,,170.3,False,69.5,False,Campbell Stokes recorder,False
aberporth,,1950-12,4.7,False,1.7,False,,,119.5,False,33.3,False,Campbell Stokes recorder,False
aberporth,,1951-01,6.7,False,3.2,False,,,89.3,False,49.7,False,Campbell Stokes recorder,False
aberporth,,1951-02,6.4,False,2.0,False,,,92.9,False,92.8,False,Campbell Stokes recorder,False
aberporth,,1951-03,6.9,False,2.2,False,,,112.6,False,87.9,False,Campbell Stokes recorder,False
aberporth,,1951-04,9.6,False,3.7,False,,,77.1,False,196.6,False,Campbell Stokes recorder,False
aberporth,,1951-05,12.5,False,6.3,False,,,65.7,False,188.7,False,Campbell Stokes recorder,False
aberporth,,1951-06,16.3,False,9.4,False,,,27.1,False,246.3,False,Campbell Stokes recorder,False
aberporth,,1951-07,18.3,False,11.8,False,,,78.0,False,227.3,False,Campbell Stokes recorder,False
aberporth,,1951-08,16.9,False,11.3,False,,,136.5,False,154.0,False,Campbell Stokes recorder,False
aberporth,,1951-09,16.4,False,11.8,False,,,112.1,False,78.3,False,Campbell Stokes recorder,False
aberporth,,1951-10,13.6,False,8.1,False,,,35.3,False,132.8,False,Campbell Stokes recorder,False
aberporth,,1951-11,11.0,False,7.2,False,,,168.8,False,59.1,False,Campbell Stokes recorder,False
aberporth,,1951-12,8.7,False,5.4,False,,,141.6,False,51.8,False,Campbell Stokes recorder,False
aberporth,,1952-01,6.2,False,2.8,False,,,122.6,False,63.8,False,Campbell Stokes recorder,False
aberporth,,1952-02,6.9,False,2.2,False,,,36.3,False,89.2,False,Campbell Stokes recorder,False
aberporth,,1952-03,9.4,False,4.7,False,,,49.1,False,112.7,False,Campbell Stokes recorder,False
aberporth,,1952-04,12.3,False,5.6,False,,,80.6,False,146.6,False,Campbell Stokes recorder,False
aberporth,,1952-05,15.2,False,8.9,False,,,112.7,False,203.6,False,Campbell Stokes recorder,False
aberporth,,1952-06,15.8,False,9.9,False,,,87.0,False,202.4,False,Campbell Stokes recorder,False
aberporth,,1952-07,18.6,False,12.4,False,,,49.1,False,170.5,False,Campbell Stokes recorder,False
aberporth,,1952-08,17.9,False,12.1,False,,,121.5,False,176.3,False,Campbell Stokes recorder,False
aberporth,,1952-09,14.2,False,8.8,False,,,113.1,False,147.3,False,Campbell Stokes recorder,False
aberporth,,1952-10,12.5,False,8.0,False,,,115.7,False,116.9,False,Campbell Stokes recorder,False
aberporth,,1952-11,7.8,False,4.3,False,,,93.0,False,64.9,False,Campbell Stokes recorder,False
aberporth,,1952-12,6.9,False,3.1,False,,,96.1,False,56.4,False,Campbell Stokes recorder,False
aberporth,,1953-01,6.8,False,2.9,False,,,43.1,False,56.2,False,Campbell Stokes recorder,False
aberporth,,1953-02,7.4,False,2.8,False,,,46.6,False,55.1,False,Campbell Stokes recorder,False
aberporth,,1953-03,9.8,False,2.4,False,,,60.0,False,165.9,False,Campbell Stokes recorder,False
aberporth,,1953-04,10.2,False,4.0,False,,,66.8,False,213.4,False,Campbell Stokes recorder,False
aberporth,,1953-05,15.2,False,8.6,False,,,55.1,False,228.8,False,Campbell Stokes recorder,False
aberporth,,1953-06,15.7,False,9.6,False,,,58.7,False,221.6,False,Campbell Stokes recorder,False
aberporth,,1953-07,17.2,False,11.7,False,,,60.5,False,217.1,False,Campbell Stokes recorder,False
aberporth,,1953-08,18.3,False,12.2,False,,,83.5,False,201.8,False,Campbell Stokes recorder,False
aberporth,,1953-09,16.2,False,11.2,False,,,110.3,False,148.7,False,Campbell Stokes recorder,False
aberporth,,1953-10,13.6,False,7.8,False,,,82.0,False,126.9,False,Campbell Stokes recorder,False
aberporth,,1953-11,11.2,False,7.4,False,,,126.5,False,63.3,False,Campbell Stokes recorder,False
aberporth,,1953-12,10.1,False,7.0,False,,,42.6,False,48.6,False,Campbell Stokes recorder,False
aberporth,,1954-01,6.3,False,2.9,False,,,78.6,False,69.3,False,Campbell Stokes recorder,False
aberporth,,1954-02,6.4,False,1.5,False,,,72.8,False,93.0,False,Campbell Stokes recorder,False
aberporth,,1954-03,9.1,False,3.8,False,,,83.2,False,134.8,False,Campbell Stokes recorder,False
aberporth,,1954-04,11.3,False,4.2,False,,,21.7,False,237.0,False,Campbell Stokes recorder,False
aberporth,,1954-05,13.3,False,7.6,False,,,83.4,False,160.7,False,Campbell Stokes recorder,False
aberporth,,1954-06,15.3,False,9.7,False,,,86.2,False,181.9,False,Campbell Stokes recorder,False
aberporth,,1954-07,15.8,False,11.1,False,,,64.2,False,126.3,False,Campbell Stokes recorder,False
aberporth,,1954-08,16.1,False,11.2,False,,,83.4,False,149.7,False,Campbell Stokes recorder,False
aberporth,,1954-09,15.3,False,10.2,False,,,90.1,False,171.7,False,Campbell Stokes recorder,False
aberporth,,1954-10,14.1,False,10.3,False,,,189.1,False,55.0,False,Campbell Stokes recorder,False
aberporth,,1954-11,10.4,False,5.9,False,,,232.3,False,58.4,False,Campbell Stokes recorder,False
aberporth,,1954-12,9.2,False,6.2,False,,,102.2,False,42.5,False,Campbell Stokes recorder,False
aberporth,,1955-01,6.1,False,2.4,False,,,70.2,False,46.7,False,Campbell Stokes recorder,False
aberporth,,1955-02,4.6,False,0.2,False,,,48.6,False,88.1,False,Campbell Stokes recorder,False
aberporth,,1955-03,6.9,False,0.5,False,,,83.5,False,195.8,False,Campbell Stokes recorder,False
aberporth,,1955-04,11.9,False,5.4,False,,,59.9,False,186.3,False,Campbell Stokes recorder,False
aberporth,,1955-05,12.6,False,6.9,False,,,70.1,False,207.6,False,Campbell Stokes recorder,False
aberporth,,1955-06,16.5,False,10.9,False,,,94.1,False,189.3,False,Campbell Stokes recorder,False
aberporth,,1955-07,19.2,False,11.6,False,,,14.7,False,342.1,False,Campbell Stokes recorder,False
aberporth,,1955-08,21.3,False,14.0,False,,,29.9,False,240.6,False,Campbell Stokes recorder,False
aberporth,,1955-09,17.2,False,11.6,False,,,58.9,False,170.6,False,Campbell Stokes recorder,False
aberporth,,1955-10,12.9,False,8.0,False,,,72.0,False,122.4,False,Campbell Stokes recorder,False
aberporth,,1955-11,10.3,False,5.2,False,,,55.7,False,94.2,False,Campbell Stokes recorder,False
aberporth,,1955-12,9.1,False,5.6,False,,,130.2,False,35.7,False,Campbell Stokes recorder,False
aberporth,,1956-01,7.1,False,3.6,False,,,102.0,False,52.3,False,Campbell Stokes recorder,False
aberporth,,1956-02,3.4,False,-1.8,False,,,18.9,False,113.4,False,Campbell Stokes recorder,False
