month,country_or_territory,currency,code,rate
2021-01,Nicaragua,Gold Cordoba,NIO,46.9600
2021-01,Niger Republic,CFA Franc,XOF,726.4900
2021-01,Nigeria,Naira,NGN,524.3500
2021-01,Norway,Norwegian Krone,NOK,11.7300
2021-01,Oman,Rial,OMR,0.5196
2021-01,Pakistan,Rupee,PKR,216.2800
2021-01,Panama,Balboa,PAB,1.3497
2021-01,Papua New Guinea,Kina,PGK,4.7400
2021-01,Paraguay,Guarani,PYG,9412.7000
2021-01,Peru,New Sol,PEN,4.8389
2021-01,Philippines,Peso,PHP,64.8700
2021-01,Poland,Zloty,PLN,4.9191
2021-01,Qatar,Riyal,QAR,4.9142
2021-01,Romania,New Leu,RON,5.3939
2021-01,Russia,Rouble,RUB,99.2400
2021-01,Rwanda,Franc,RWF,1322.0500
2021-01,Saotome & Principe,Dobra,STD,27547.2000
2021-01,Saudi Arabia,Riyal,SAR,5.0632
2021-01,Senegal,CFA Franc,XOF,726.4900
2021-01,Serbia,Dinar,RSD,130.1900
2021-01,Seychelles,Rupee,SCR,28.5700
2021-01,Sierra Leone,Leone,SLL,13631.8800
2021-01,Singapore,Dollar,SGD,1.7942
2021-01,Soloman Islands,Dollar,SBD,10.9200
2021-01,Somali Republic,Schilling,SOS,788.2100
2021-01,South Africa,Rand,ZAR,20.0300
2021-01,South Korea,Won,KRW,1476.4900
2021-01,Sri Lanka,Rupee,LKR,252.3200
2021-01,St Christopher & Anguilla,E Caribbean Dollar,XCD,3.6442
2021-01,St Lucia,E Caribbean Dollar,XCD,3.6442
2021-01,St Vincent,E Caribbean Dollar,XCD,3.6442
2021-01,Sudan Republic,Pound,SDG,74.5700
2021-01,Surinam,Dollar,SRD,19.1000
2021-01,Swaziland,Lilangeni,SZL,20.0300
2021-01,Sweden,Krona,SEK,11.2900
2021-01,Switzerland,Franc,CHF,1.1946
2021-01,Taiwan,Dollar,TWD,37.9600
2021-01,Tanzania,Schilling,TZS,3129.9300
2021-01,Thailand,Baht,THB,40.4900
2021-01,Togo Republic,CFA Franc,XOF,726.4900
2021-01,Tonga Islands,Pa'anga (AUS),TOP,1.7842
2021-01,Trinidad/Tobago,Dollar,TTD,9.1338
2021-01,Tunisia,Dinar,TND,3.6433
2021-01,Turkey,Turkish  Lira,TRY,10.5600
2021-01,Turkmenistan,New Manat,TMT,4.7239
2021-01,UAE,Dirham,AED,4.9576
2021-01,USA,Dollar,USD,1.3497
2021-01,Uganda,Schilling,UGX,4923.6700
